Detector Type,Descriptor Type,TTC Lidar, TTC Camera,diff
HARRIS,BRIEF,8.3212,10.2628,1.9416
HARRIS,BRIEF,8.89867,12.84,3.94133
HARRIS,BRIEF,11.0301,11.7562,0.726100000000001
HARRIS,BRIEF,8.53557,13.6117,5.07613
HARRIS,ORB,12.2891,11.3,0.989099999999999
HARRIS,ORB,13.3547,11.6629,1.6918
HARRIS,ORB,16.3845,12.299,4.0855
HARRIS,ORB,14.0764,13.1518,0.9246
HARRIS,ORB,12.7299,12.5715,0.1584
HARRIS,ORB,13.7511,-inf,#VALUE!
HARRIS,ORB,13.7314,13.4837,0.2477
HARRIS,ORB,13.7901,13.5015,0.288600000000001
HARRIS,ORB,12.059,13.4967,1.4377
HARRIS,ORB,11.8642,13.3261,1.4619
HARRIS,ORB,11.9682,12.1343,0.1661
HARRIS,ORB,9.88711,13.2272,3.34009
HARRIS,ORB,9.42504,13.2916,3.86656
HARRIS,ORB,9.30215,11.7063,2.40415
HARRIS,ORB,8.3212,9.22735,0.90615
HARRIS,ORB,8.89867,13.9603,5.06163
HARRIS,ORB,11.0301,7.17112,3.85898
HARRIS,ORB,8.53557,13.8354,5.29983
HARRIS,FREAK,12.2891,12.7316,0.442500000000001
HARRIS,FREAK,13.3547,11.2603,2.0944
HARRIS,FREAK,16.3845,12.0863,4.2982
HARRIS,FREAK,14.0764,13.1701,0.9063
HARRIS,FREAK,12.7299,11.9519,0.778000000000001
HARRIS,FREAK,13.7511,-inf,#VALUE!
HARRIS,FREAK,13.7314,12.951,0.7804
HARRIS,FREAK,13.7901,11.8463,1.9438
HARRIS,FREAK,12.059,11.9434,0.115599999999999
HARRIS,FREAK,11.8642,13.6902,1.826
HARRIS,FREAK,11.9682,12.4651,0.4969
HARRIS,FREAK,9.88711,10.8106,0.923490000000001
HARRIS,FREAK,9.42504,14.6236,5.19856
HARRIS,FREAK,9.30215,13.2623,3.96015
HARRIS,FREAK,8.3212,11.0009,2.6797
HARRIS,FREAK,8.89867,10.2486,1.34993
HARRIS,FREAK,11.0301,11.5417,0.511600000000001
HARRIS,FREAK,8.53557,12.1867,3.65113
HARRIS,SIFT,12.2891,11.7153,0.5738
HARRIS,SIFT,13.3547,10.5981,2.7566
HARRIS,SIFT,16.3845,12.5469,3.8376
HARRIS,SIFT,14.0764,13.0782,0.998199999999999
HARRIS,SIFT,12.7299,11.1863,1.5436
HARRIS,SIFT,13.7511,13.0714,0.679699999999999
HARRIS,SIFT,13.7314,13.4223,0.309100000000001
HARRIS,SIFT,13.7901,12.264,1.5261
HARRIS,SIFT,12.059,12.0367,0.0223
HARRIS,SIFT,11.8642,12.3841,0.5199
HARRIS,SIFT,11.9682,12.0767,0.108500000000001
HARRIS,SIFT,9.88711,12.269,2.38189
HARRIS,SIFT,9.42504,12.5802,3.15516
